Код;Тип;Двигатели;Деталей;Примеры деталей;Куда положить файл;Поиск в Google;QuickServe (войти и искать код вручную)
TSB230075;TSB (сервисный бюллетень);NTE240;1;3646766;cummins/bulletins/topics/TSB230075.pdf;https://www.google.com/search?q=Cummins%20TSB230075%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230077;TSB (сервисный бюллетень);TR100A;1;4295331;cummins/bulletins/topics/TSB230077.pdf;https://www.google.com/search?q=Cummins%20TSB230077%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230083;TSB (сервисный бюллетень);"NTE240, TR100A";1;3331873;cummins/bulletins/topics/TSB230083.pdf;https://www.google.com/search?q=Cummins%20TSB230083%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230084;TSB (сервисный бюллетень);NTE240;2;"5286859, 6372680";cummins/bulletins/topics/TSB230084.pdf;https://www.google.com/search?q=Cummins%20TSB230084%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230131;TSB (сервисный бюллетень);"NTE240, NTE200, TR100A";5;"3093957, 3678611, 3900626, 3903464, 3914407";cummins/bulletins/topics/TSB230131.pdf;https://www.google.com/search?q=Cummins%20TSB230131%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230138;TSB (сервисный бюллетень);"NTE240, NTE200";1;5538724;cummins/bulletins/topics/TSB230138.pdf;https://www.google.com/search?q=Cummins%20TSB230138%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230146;TSB (сервисный бюллетень);"NTE240, NTE200, TR100A";5;"5594382, 5594388, 5594378, 5594381, 5594387";cummins/bulletins/topics/TSB230146.pdf;https://www.google.com/search?q=Cummins%20TSB230146%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230152;TSB (сервисный бюллетень);NTE240;2;"6319697, 6319710";cummins/bulletins/topics/TSB230152.pdf;https://www.google.com/search?q=Cummins%20TSB230152%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230167;TSB (сервисный бюллетень);NTE200;2;"6377067, 6377069";cummins/bulletins/topics/TSB230167.pdf;https://www.google.com/search?q=Cummins%20TSB230167%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230176;TSB (сервисный бюллетень);"NTE240, NTE200";3;"3647803, 3900630, 5539846";cummins/bulletins/topics/TSB230176.pdf;https://www.google.com/search?q=Cummins%20TSB230176%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230183;TSB (сервисный бюллетень);NTE200;1;5374489;cummins/bulletins/topics/TSB230183.pdf;https://www.google.com/search?q=Cummins%20TSB230183%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230213;TSB (сервисный бюллетень);"NTE240, NTE200";1;3900629;cummins/bulletins/topics/TSB230213.pdf;https://www.google.com/search?q=Cummins%20TSB230213%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB230242;TSB (сервисный бюллетень);"NTE240, TR100A";1;3093932;cummins/bulletins/topics/TSB230242.pdf;https://www.google.com/search?q=Cummins%20TSB230242%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240001;TSB (сервисный бюллетень);"NTE240, NTE200, TR100A";16;"62279, 3085709, 3093828, 3331089, 3629454";cummins/bulletins/topics/TSB240001.pdf;https://www.google.com/search?q=Cummins%20TSB240001%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240007;TSB (сервисный бюллетень);NTE240;1;3176133;cummins/bulletins/topics/TSB240007.pdf;https://www.google.com/search?q=Cummins%20TSB240007%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240023;TSB (сервисный бюллетень);TR100A;1;4975411;cummins/bulletins/topics/TSB240023.pdf;https://www.google.com/search?q=Cummins%20TSB240023%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240108;TSB (сервисный бюллетень);"NTE240, NTE200, TR100A";1;4951864;cummins/bulletins/topics/TSB240108.pdf;https://www.google.com/search?q=Cummins%20TSB240108%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240130;TSB (сервисный бюллетень);NTE240;1;3900635;cummins/bulletins/topics/TSB240130.pdf;https://www.google.com/search?q=Cummins%20TSB240130%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240188;TSB (сервисный бюллетень);TR100A;4;"4295451, 5483701, 5483705, 5483862";cummins/bulletins/topics/TSB240188.pdf;https://www.google.com/search?q=Cummins%20TSB240188%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240204;TSB (сервисный бюллетень);"NTE240, NTE200";1;4964178;cummins/bulletins/topics/TSB240204.pdf;https://www.google.com/search?q=Cummins%20TSB240204%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240204A;TSB (сервисный бюллетень);NTE240;1;3651892;cummins/bulletins/topics/TSB240204A.pdf;https://www.google.com/search?q=Cummins%20TSB240204A%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240217;TSB (сервисный бюллетень);NTE240;2;"3089232, 3902460";cummins/bulletins/topics/TSB240217.pdf;https://www.google.com/search?q=Cummins%20TSB240217%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB240233;TSB (сервисный бюллетень);NTE240;1;3093826;cummins/bulletins/topics/TSB240233.pdf;https://www.google.com/search?q=Cummins%20TSB240233%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB250017;TSB (сервисный бюллетень);NTE200;3;"3015321, 3628937, 5694571";cummins/bulletins/topics/TSB250017.pdf;https://www.google.com/search?q=Cummins%20TSB250017%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB250125;TSB (сервисный бюллетень);TR100A;2;"5483706, 5544940";cummins/bulletins/topics/TSB250125.pdf;https://www.google.com/search?q=Cummins%20TSB250125%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB250131;TSB (сервисный бюллетень);NTE200;2;"5374581, 5539807";cummins/bulletins/topics/TSB250131.pdf;https://www.google.com/search?q=Cummins%20TSB250131%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB250148;TSB (сервисный бюллетень);"NTE240, NTE200, TR100A";4;"3090400, 3638582, 3678873, 3335003";cummins/bulletins/topics/TSB250148.pdf;https://www.google.com/search?q=Cummins%20TSB250148%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
TSB260032;TSB (сервисный бюллетень);TR100A;1;3092855;cummins/bulletins/topics/TSB260032.pdf;https://www.google.com/search?q=Cummins%20TSB260032%20bulletin%20filetype%3Apdf;https://quickserve.cummins.com/
