Двигатель;Номер детали;Исходное (обрезанное) значение;Что делать
NTE240;3900634;"TSB240001,T";Открыть деталь 3900634 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3900635;"TSB240130,0";Открыть деталь 3900635 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3901249;"TSB240001,9";Открыть деталь 3901249 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3901865;"01T7-3,97T5";Открыть деталь 3901865 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3902114;"04T10-7,TSB";Открыть деталь 3902114 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3902460;"TSB240217,0";Открыть деталь 3902460 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3903464;"TSB230131,9";Открыть деталь 3903464 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3903990;"01T7-4,01T6";Открыть деталь 3903990 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3913372;"TSB240001,0";Открыть деталь 3913372 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3913638;"04T19-2,07T";Открыть деталь 3913638 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3914407;"TSB230131,0";Открыть деталь 3914407 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3924725;"TSB220165,T";Открыть деталь 3924725 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3937692;"05T0-39,240";Открыть деталь 3937692 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3944593;"TSB190076,0";Открыть деталь 3944593 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3963991;"TSB200026,T";Открыть деталь 3963991 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4001044;"02T0-8,02T0";Открыть деталь 4001044 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4001226;"08T11-4,08T";Открыть деталь 4001226 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4066190;"02T7-3,04T7";Открыть деталь 4066190 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4066192;"02T7-6,04T7";Открыть деталь 4066192 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4066194;"02T7-3,02T7";Открыть деталь 4066194 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4066195;"02T7-3,04T7";Открыть деталь 4066195 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4101256;"08T8-6,06T8";Открыть деталь 4101256 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;4924925;"TSB220145,T";Открыть деталь 4924925 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;5286859;"TSB230084,T";Открыть деталь 5286859 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;5539846;"TSB230176,T";Открыть деталь 5539846 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;5542339;"TSB220146,T";Открыть деталь 5542339 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;6372680;"TSB230084,T";Открыть деталь 6372680 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;68152B;"03T19-30,04";Открыть деталь 68152B на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;69911A;"97T6-6,08T1";Открыть деталь 69911A на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;S631;"91T5-7,01T1";Открыть деталь S631 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;108707;"00T7-17,07T";Открыть деталь 108707 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;191772;"TSB210083,0";Открыть деталь 191772 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;203933;"02T2-1,01T2";Открыть деталь 203933 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;205401;"02T2-1,96T2";Открыть деталь 205401 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;206224;"96T2-11,01T";Открыть деталь 206224 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3008466;"07T1-26,01T";Открыть деталь 3008466 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3021618;"02T7-3,04T7";Открыть деталь 3021618 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3035026;"TSB200223,0";Открыть деталь 3035026 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3036460;"04T0-9,05T7";Открыть деталь 3036460 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3069779;"90T1-12,97T";Открыть деталь 3069779 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE200;3085709;"TSB240001,0";Открыть деталь 3085709 на quickserve.cummins.com — там указан полный список тем/бюллетеней
