Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
15253339,TEE,TEE,三通,721.95,Рулевое управление,,TR100A,220-0010
15253564,ELBOW,ELBOW,弯头,31.59,,,TR100A,230-0021
15253647,,ELBOW,弯头,,,,TR100A,250-0020
15253868,PIPE CLAMP,CLIP,夹子,23.99,,,TR100A,250-0020
15253869,CONNECTOR,P CLIP-P,夹子,21.48,,,TR100A,250-0020
15253870,CLAMP,CLAMP-PIPE,管夹,19.19,,,TR100A,190-0070 250-0020
15253938,HOSE-AIR CLEANER,CONNECTOR- RUBBER,,167.9,,,TR100A,110-0060
15254320,,BOLT,螺栓,,,,TR100A,250-0020
15254346,,ADAPTOR,接头,,,,TR100A,250-0020
15254412,,STEERING ARM R,右转向臂,,,,TR100A,220-0190
15254413,,STEERING ARM L,左转向臂,,,,TR100A,220-0190
15254568,ADAPTOR,ADAPTOR,接头,169.42,Гидравлическая система,,TR100A,230-0020
15254569,TEE BLOCK,ADAPTOR,接头,185.88,Гидравлическая система,,TR100A,230-0020
15254642,Хомут,CLIP,夹子,302.25,,,TR100A,210-0050
15254646,,ELBOW,弯头,,,,TR100A,250-0020
15254862,BAND-MOUNTING,INSTLLATION,,58.76,,,TR100A,110-0060
15254921,CLAMP 25mm POLYPROPLENE SINGLE HOLE,CLAMP,管夹子总成,15.59,Рулевое управление,,TR100A,220-0010 250-0020
15254929,,ADAPTOR,接头,,,,TR100A,250-0020
15254966,BRACKET,BRACKET,支架,39.1,Рулевое управление,,TR100A,220-0010
15254978,ELBOW - BULKHEAD,ELBOW,弯头,389.76,Рулевое управление,,TR100A,220-0010
15254986,BRACKET,BRACKET,支架,32.58,Рулевое управление,,TR100A,220-0010
15254988,BRACKET,BRACKET,支架,16.29,Рулевое управление,,TR100A,220-0010
15254990,CLAMP,CLIP,管夹,22.79,,,TR100A,250-0020
15254991,BRACKET ASSY,BRACKET,支架,17.99,Рулевое управление,,TR100A,220-0010
15255212,NIPPLE-DIAGNOSTIC,NIPPLE,测压接头,124.72,,,TR100A,230-0040
15255295,HOSE ASSY,HOSE ASSY,,680.92,,,TR100A,120-0110
