Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
00102614,,"CUP POINT A. @A"" BC 13.75?1D NOTE: A. FOR STANDARD GEAR REDUCTION.",,,,,TR100A,160-0040
00102634,,NUT,螺母,,,,TR100A,190-0070 190-0100 250-0020
00102635,,NUT,螺母,,,,TR100A,110-0140 120-0010 200-0040 220-0010 230-0020 230-0070
00102637,,NUT,螺母,,,,TR100A,100-0040 100-0140
00102639,,NUT,,,,,TR100A,230-0070
00103028,,NUT,,,,,TR100A,120-0290 220-0060
00103319,,SPRING WASHER,弹垫,,,,TR100A,120-0070 120-0190 120-0290 190-0070 230-0021 250-0020 260-0140 300-0030
00103320,,LOCKWASHER,锁紧垫圈,,,,TR100A,110-0130 120-0190 190-0070 190-0100 250-0020 260-0190
00103321,,LOCKWASHER,,,,,TR100A,120-0210 120-0220 120-0270 120-0290 250-0060
00103322,,LOCKWASHER,,,,,TR100A,120-0210
00103323,,WASHER,,,,,TR100A,120-0200 120-0210 120-0290
00103325,,LOCKWASHER,,,,,TR100A,120-0290 120-0340
00103328,,LOCKWAHSER,锁紧垫圈,,,,TR100A,110-0130 120-0090 210-0052 230-0020 230-0060
00103329,,LOCKWASHER,垫圈,,,,TR100A,100-0140 110-0030 120-0010 120-0110 120-0260 140-0040 160-0030 160-0050 180-0050 200-0010 210-0040 210-0050 210-0052 210-0061 220-0010 220-0060 220-0120 220-0190 220-0230 230-0020 230-0041 230-0130 270-0020
00103331,,LOCKWASHER,,,,,TR100A,120-0010 120-0110 230-0070
00103332,,LOCKWASHER,锁紧垫圈,,,,TR100A,210-0020
00103338,,WASHER,垫圈,,,,TR100A,270-0010
00103339,,WASHER,平垫,,,,TR100A,120-0070 120-0240 190-0070 230-0021 250-0020 300-0030
00103340,,WASHER,垫圈,,,,TR100A,190-0070 250-0020 260-0190
00103426,,PIN COTTER,开口销,,,,TR100A,220-0190
00103453,,LOCKWASHER,垫片,,,,TR100A,230-0020
00103498,,PIN,销子,,,,TR100A,120-0190
00105410,,PLUG,,,,,TR100A,110-0060
00105422,,ELBOW,,,,,TR100A,110-0060
00106263,,WARSH,平垫圈,,,,TR100A,190-0070 210-0020 210-0050 210-0061 220-0010 220-0060 220-0230 230-0070 250-0020 270-0010 270-0020 300-0030
00106264,,WASHER,,,,,TR100A,110-0060
00106265,,WASHER,垫片,,,,TR100A,110-0030 210-0050 210-0061 270-0020
00106270,,WASHER,ෛസ,,,,TR100A,200-0010
00106497,,LOCKWASHER,锁紧垫圈,,,,TR100A,120-0190 190-0070
00106671,,FITTING RELEASE,泄油咀,,,,TR100A,180-0030
00107393,,PIN,,,,,TR100A,120-0210 120-0260
00108580,,LOCKWAHSER,弹簧垫圈,,,,TR100A,110-0130 110-0140 120-0010 190-0030 190-0070 190-0100 190-0320 200-0010 200-0040 210-0050 210-0052 210-0061 220-0010 220-0190 220-0230 230-0020 230-0040 230-0070 250-0020 270-0020 300-0030 300-0050
00109084,,NUT,螺母,,,,TR100A,120-0190 230-0021 250-0020 260-0140 300-0030
00110501,,SCREW,螺钉,,,,TR100A,120-0190 270-0010
00110633,,NUT,螺母,,,,TR100A,120-0190
00114699,,SCREW,,,,,TR100A,250-0060
00115549,,LOCKWASHER,,,,,TR100A,120-0330
00115551,,GHD! LOCKWASHER,,,,,TR100A,120-0280 120-0320
00116436,,IJ CONNECTOR,,,,,TR100A,160-0030
00117966,,EYE PROTECTORS,护眼圈,,,,TR100A,110-0140 190-0320
00120063,,90°DEF ELBOW,,,,,TR100A,110-0130
00120350,,LOCKWASHER,,,,,TR100A,160-0030
00120371,,NUT A ABCDEFGHIJ NOTE: A PLEASE CONTACT YOUR TRANSMISSION MANUFACTURER FOR ADVICE.,,,,,TR100A,120-0200
00120378,,NUT,螺母,,,,TR100A,230-0020 270-0020
00121222,,PIN-COTTER,开口销,,,,TR100A,120-0190
00121538,,GASKET,,,,,TR100A,120-0270
00128003,,ADAPTER,接头,,,,TR100A,110-0140 200-0040 230-0041
00137185,,PIN-COTTER,开口销,,,,TR100A,120-0190
00137393,,BEARING,,,,,TR100A,160-0020
00137971,,ELBOW,,,,,TR100A,120-0010
00138252,,BOLT,螺栓,,,,TR100A,250-0020
00139191,,SCREW,,,,,TR100A,160-0020
00139230,,SCREW,,,,,TR100A,160-0020 160-0040
00141199,,PIN-DOWEL,,,,,TR100A,120-0220
00141264,,PIN-DOWEL,,,,,TR100A,120-0210
00141621,,ELBOW,弯头,,,,TR100A,230-0041
00144033,,BUSHIING,,,,,TR100A,160-0030
00144034,,ADAPTOR,接头,,,,TR100A,230-0041 260-0140
00145372,,SCREW-DRIVE,,,,,TR100A,120-0340
00145378,,SCREW,螺钉,,,,TR100A,270-0010 290-0010
00148415,,BEARING,,,,,TR100A,120-0220
00169162,,BALL STEEL,钢球,,,,TR100A,180-0030 180-0050
00179097,,PIN COTTER,开口销,,,,TR100A,220-0190
00179791,,BOLT,螺栓,,,,TR100A,230-0020 250-0020
00179793,,BOLT,螺栓,,,,TR100A,190-0070 300-0030
00179795,,BOLT,螺栓,,,,TR100A,260-0140
00179797,,BOLT,螺栓,,,,TR100A,120-0070 230-0021
00179801,,BOLT,螺栓,,,,TR100A,120-0190 250-0020
00179808,,BOLT,螺栓,,,,TR100A,250-0020
00179814,,BOLT,,,,,TR100A,165-0030
00179816,,BOLT,螺栓,,,,TR100A,120-0190 220-0010 260-0140
00179818,,BOLT,螺栓,,,,TR100A,250-0020
00179820,,BOLT,螺栓,,,,TR100A,190-0070
00179826,,BOLT,,,,,TR100A,110-0130
00179827,,BOLT,螺栓,,,,TR100A,190-0070
00179833,,BOLT,㷰ṉ,,,,TR100A,200-0010
00179835,,BOLT,螺栓,,,,TR100A,190-0070 220-0010
00179837,,BOLT,螺栓,,,,TR100A,110-0130 110-0140 120-0290 180-0050 190-0030 190-0320 200-0040 220-0010 220-0230 250-0020 300-0030 300-0050
00179838,,BOLT,螺栓,,,,TR100A,120-0010 120-0210 120-0290 210-0040 210-0061 300-0050
00179839,,SCREW,螺栓,,,,TR100A,120-0270 190-0070 190-0100 210-0020 210-0050 210-0052 220-0010 220-0190 230-0020 230-0040 260-0190
00179841,,BOLT,螺栓,,,,TR100A,110-0140 120-0110 190-0070 200-0040 210-0020 210-0052 210-0061 220-0010 230-0020
00179843,,BOLT,螺栓,,,,TR100A,210-0020 210-0050 220-0230 270-0010
00179845,,BOLT,,,,,TR100A,230-0070
00179847,,BOLT,螺栓,,,,TR100A,270-0010
00179848,,BOLT,,,,,TR100A,120-0220
00179849,,BOLT,六角头螺栓,,,,TR100A,220-0010
00179851,,BOLT,螺栓,,,,TR100A,250-0020
00179857,,BOLT,,,,,TR100A,120-0210
00179860,,BOLT,螺栓,,,,TR100A,110-0060 110-0130 120-0090 120-0210 230-0020
00179872,,BOLT,,,,,TR100A,230-0060
00179873,,BOLT,螺栓,,,,TR100A,230-0020
00179880,,BOLT,䀈ཪ㷰ṉ,,,,TR100A,160-0050 210-0052 220-0230 230-0041
00179881,,BOLT,螺栓,,,,TR100A,100-0040 210-0040 210-0070 220-0060 220-0190
00179883,,BOLT,螺栓,,,,TR100A,100-0070 110-0060 120-0110 120-0260 180-0050 200-0010 210-0052 220-0060 220-0120 230-0020 230-0130 250-0020
00179885,,BOLT,螺栓,,,,TR100A,100-0040 100-0070 100-0090 100-0140 210-0040 210-0061 220-0010 220-0060 230-0020 260-0145
00179887,,BOLT,螺栓,,,,TR100A,100-0040 100-0070 100-0090 100-0140 120-0290 190-0100 210-0050 210-0052 230-0020 270-0020
00179889,,BOLT,螺栓,,,,TR100A,100-0040 100-0070 100-0090 120-0010 220-0010
00179890,,SCREW,六角头螺栓,,,,TR100A,190-0080 230-0041
00179891,,BOLT,,,,,TR100A,120-0260
00179893,,BOLT,䀈ཪ㷰ṉ,,,,TR100A,120-0290 210-0052
00179894,,BOLT SPEED SENSOR GHIJ',,,,,TR100A,120-0290
00179896,,BOLT,螺栓,,,,TR100A,120-0210 230-0020
00181360,,HEX BOLT,,,,,TR100A,120-0330
00181433,,BOLT,,,,,TR100A,120-0200
00181440,,BOLT,,,,,TR100A,120-0200
00186270,,BOLT,螺栓,,,,TR100A,250-0020
00186284,,BOLT,螺栓,,,,TR100A,190-0070
00186285,,BOLT,六角头螺栓,,,,TR100A,120-0270 220-0010
00186288,,BOLT,,,,,TR100A,230-0070
00186609,,BOLT,螺栓,,,,TR100A,270-0020 300-0030
00186628,,BOLT,螺栓,,,,TR100A,210-0061
00186630,,BOLT,,,,,TR100A,120-0290
00186646,,BOLT,螺栓,,,,TR100A,210-0061
00186725,,BOLT,螺栓,,,,TR100A,210-0061 270-0020
00187238,,BOLT,螺栓,,,,TR100A,210-0061
00187394,,JOINT,接头,,,,TR100A,110-0030
00187396,,GHC COUPLING,,,,,TR100A,110-0130
00187433,,BOLT,䀈ཪ㷰ṉ,,,,TR100A,210-0052
00189633,,ADAPTER,接头,,,,TR100A,200-0040
00190909,,BOLT,,,,,TR100A,110-0130
00219303,,"""C PLUG",,,,,TR100A,160-0030
00219305,,.PLUG-PIPE,.管塞,,,,TR100A,120-0090
00223435,,BOLT,,,,,TR100A,120-0340
00223436,,BOLT,螺栓,,,,TR100A,270-0010
00223437,,BOLT,,,,,TR100A,165-0030
00223438,,BOLT,螺栓,,,,TR100A,230-0041
00223441,,BOLT,,,,,TR100A,160-0020
00223445,,BOLT,,,,,TR100A,120-0010
00223451,,BOLT,螺栓,,,,TR100A,100-0090
00223453,,BOLT,㷰ṉ,,,,TR100A,100-0010 160-0020 220-0080
00223457,,BOLT,螺栓,,,,TR100A,180-0030
00223458,,BOLT,螺栓,,,,TR100A,110-0030
00223488,,BOLT,,,,,TR100A,160-0030
00223489,,BOLT,螺栓,,,,TR100A,220-0190
00223493,,BOLT,,,,,TR100A,165-0030
00223495,,BOLT,螺栓,,,,TR100A,100-0070
00223775,,BOLT,,,,,TR100A,160-0020
00271500,,NUT,,,,,TR100A,110-0060
00271556,,BOLT,,,,,TR100A,120-0110
00271558,,BOLT,螺栓,,,,TR100A,270-0010
00271562,,BOLT,,,,,TR100A,230-0070
00271563,,BOLT,螺栓,,,,TR100A,220-0190
00271564,,BOLT,,,,,TR100A,120-0290
00271565,,BOLT,六角头螺栓,,,,TR100A,220-0010 220-0120
00271566,,BOLT,,,,,TR100A,230-0070
00271567,,BOLT,,,,,TR100A,160-0020
00271568,,BOLT,螺栓,,,,TR100A,100-0070
00271572,,BOLT,螺栓,,,,TR100A,210-0050
00271605,,BOLT,螺栓,,,,TR100A,100-0100
00271607,,BOLT,螺栓,,,,TR100A,270-0010
00271609,,BOLT,螺栓,,,,TR100A,220-0190
00271617,,BOLT,螺栓,,,,TR100A,180-0030
00271619,,BOLT,螺栓,,,,TR100A,110-0030
00271621,,BOLT,㷰ṉ,,,,TR100A,100-0010 120-0010
00273469,,PLUG,螺塞,,,,TR100A,160-0040 160-0050 200-0011
00273852,,LOCKNUM,自锁螺母,,,,TR100A,180-0050
00273921,,PIN,,,,,TR100A,120-0240
00274141,,NUT,㷰∃,,,,TR100A,100-0010 100-0090 210-0020
00274191,,LOCKNUT,,,,,TR100A,160-0030
00274208,,NUTS,螺母,,,,TR100A,190-0070 210-0020 210-0061 220-0230 270-0010 300-0050
00274209,,LOCKNUT,螺母,,,,TR100A,100-0040 100-0070 100-0090 210-0050
00274248,,O O-RING DAMPER,,,,,TR100A,165-0030
00274253,,O RING,,,,,TR100A,220-0080
00274416,,RING,,,,,TR100A,220-0060
00274489,,,,,,,TR100A,220-0120
00274821,,LOCKNUT,自锁螺母,,,,TR100A,210-0050
00274856,,NUT,螺母,,,,TR100A,190-0070
00274890,,PIN,,,,,TR100A,120-0320
00427574,,BOLT,螺栓,,,,TR100A,120-0190
00427667,,NUT,螺母,,,,TR100A,220-0190
00436484,,PIN COTTER,,,,,TR100A,270-0080
00442733,,BOLT,螺栓,,,,TR100A,160-0030 230-0020
00443977,,CONNECTOR,,,,,TR100A,110-0060
00444335,,REDUCER,变径接头,,,,TR100A,120-0290 230-0040
00444613,,PLUG,螺塞,,,,TR100A,120-0090 180-0050 220-0120 220-0190 230-0040
00444625,,.PLUG(0.38IN),.壳体,,,,TR100A,120-0090
00444631,,PIPE PLUG,螺塞,,,,TR100A,230-0040
00444637,,PLUG,螺塞,,,,TR100A,230-0040
00444654,,PLUG,,,,,TR100A,120-0210
00444679,,PIPE PLUG,螺堵,,,,TR100A,230-0040
00444688,,PLUG,螺堵,,,,TR100A,120-0260 180-0030 200-0011
00444692,,PLUG,,,,,TR100A,165-0030
00444698,,Q PLUG,,,,,TR100A,110-0130
00453606,,C BALL,,,,,TR100A,120-0280 120-0310 120-0320 120-0330
00454111,,ELBOW,弯头,,,,TR100A,260-0140
00454112,,ELBOW,弯头,,,,TR100A,110-0140
00454148,,TEE,三通,,,,TR100A,230-0041
00454414,,BOLT,螺栓,,,,TR100A,100-0070 210-0020
00454815,,BOLT,,,,,TR100A,120-0240
00454910,,BOLT,,,,,TR100A,160-0040
00454989,,BOLT,,,,,TR100A,140-0040
00455012,,BOLT,,,,,TR100A,120-0260
00455964,,PIN,,,,,TR100A,120-0320
00456513,,CUP BEARING,,,,,TR100A,140-0040
00457151,,BEARING,轴承,,,,TR100A,220-0090
00552868,,GASKET,,,,,TR100A,120-0340
00784079,,PIN,,,,,TR100A,110-0130
00784088,,PIN DOWEL,,,,,TR100A,165-0030
00784094,,PIN DOWEL,,,,,TR100A,165-0030
00864,,"Kit, Cyl Blk H dware S S E Draincock",,,,,QST30,BB5702-18
00907451,,.BEARING,.轴承,,,,TR100A,120-0090
00907559,,.BEARING,.轴承,,,,TR100A,120-0090
00907561,,.BEARING,.轴承,,,,TR100A,120-0090
00936559,,PIN,,,,,TR100A,165-0030
01-MA,,"AR-13 C CM850, Numb ber Des scription Requ ired Remar rks",,,,,QST30,QST30-121
0179828,,BOLT,螺栓,,,,TR100A,250-0020
02219907,,RING-SNAP,,,,,TR100A,120-0290
02276784,,SCREW-BLEED,,,,,TR100A,165-0030
02278702,,CLAMP,,,,,TR100A,210-0040
02301722,,PIPE-CLAMP,夹子,,,,TR100A,260-0140
02389616,,NUT-WING,翼型螺母,,,,TR100A,230-0040
02436163,,WASHER,,,,,TR100A,120-0200
046201,,"S eal, O Ring S crew, Hexago on Head Cap M10 x x C over, Protectiv ve S crew, Banjo Connector C Tu ube, Fuel Sup pply Tu ube, Fuel Dra in S pacer, Mounti ng S pacer, Mounti ng S pacer, Mounti ng S crew, Banjo Connector C C lamp, Tube B race, Hose S crew, Banjo Connector C Va alve, Check S crew, Hexago on Head Cap M10 x x S crew, Hexago on Head Cap M10 x x S crew, Hexago on Head Cap M10 x x",,,,,QST30,QST30-126
05-SE,,EP-12 C,,,,,QST30,QST30-76
06350512,,BOLT,螺栓,,,,TR100A,120-0190 190-0070 300-0030
06350612,,BOLT,螺栓,,,,TR100A,190-0070
06350625,,BOLT,,,,,TR100A,200-0050
06350816,,BOLT,螺栓,,,,TR100A,230-0021
06350820,,BOLT,螺栓,,,,TR100A,100-0070 110-0130 230-0021 250-0020 260-0015
06350825,,BOLT,螺栓,,,,TR100A,100-0070 190-0320 260-0190
06350835,,BOLT,螺栓,,,,TR100A,100-0070
06350850,,BOLT,螺栓,,,,TR100A,250-0020
06351020,,BOLT,螺栓,,,,TR100A,250-0020 260-0110
06351025,,BOLT,螺栓,,,,TR100A,260-0110
06351030,,BOLT,螺栓,,,,TR100A,220-0010 300-0030
06351235,,BOLT,螺栓,,,,TR100A,210-0061
06351240,,BOLT,螺栓,,,,TR100A,210-0050
06430801,,NUT,螺母,,,,TR100A,260-0090
06431001,,NUT,螺母,,,,TR100A,190-0070
06441020,,BOLT,螺栓,,,,TR100A,250-0020 260-0011
06470601,,LOCKNUT,锁紧螺母,,,,TR100A,100-0070
06471001,,LOCKNUT,螺母,,,,TR100A,100-0090 250-0020
06472001,,NUT,㷪⇽,,,,TR100A,200-0010
06525035,,VALVE FILLING,充注阀总成,,,,TR100A,180-0030 180-0050 220-0080 250-0060
06621045,,BOLT,螺栓,,,,TR100A,250-0020
06621235,,BOLT,螺栓,,,,TR100A,260-0090
06750027,,RING-SNAP,,,,,TR100A,120-0280
06750220,,RING,,,,,TR100A,120-0320
06750259,,RING-SNAP,,,,,TR100A,120-0200 120-0280
06750924,,RING-SNAP,,,,,TR100A,120-0200
06750967,,@ABL CAP-BREATHER,呼吸器帽,,,,TR100A,100-0270 110-0130
06753487,,RING-SNAP,,,,,TR100A,120-0210
06753893,,RING-SNAP,,,,,TR100A,120-0310
06754835,,RING-SNAP,,,,,TR100A,120-0280
06755269,,STRIP,,,,,TR100A,120-0260
06756041,,RING-SNAP PLATE-INTER,,,,,TR100A,120-0280 120-0300
06756042,,SPRING-RETURN,,,,,TR100A,120-0280 120-0300
06756338,,SPACER,,,,,TR100A,120-0210
06758337,,COVER,,,,,TR100A,120-0210
06758437,,GASKET,,,,,TR100A,120-0290
06758442,,GASKET,,,,,TR100A,120-0210
06758459,,VALVE,,,,,TR100A,120-0210 120-0290
06758461,,PLUG,,,,,TR100A,120-0230
06758462,,PIN,,,,,TR100A,120-0290
06758473,,SHIELD STRAINER/MAGNET,,,,,TR100A,120-0290
06758488,,TUBE,,,,,TR100A,120-0290
06758497,,I! RETAINER,,,,,TR100A,120-0280
06758508,,SPRING,,,,,TR100A,120-0230
06758529,,GEAR,,,,,TR100A,120-0220
06758530,,ROLLER,,,,,TR100A,120-0220
06758543,,PLUG,,,,,TR100A,120-0240
06758907,,STOP-NLA,,,,,TR100A,120-0230
06759340,,ANCHOR,,,,,TR100A,120-0280
06759379,,HOSE-JUMPER,,,,,TR100A,120-0290
06759381,,JUMPER-TUBE,,,,,TR100A,120-0290
06760112,,GASKET,,,,,TR100A,120-0230
06768264,,SHIM,,,,,TR100A,120-0230
06768419,,PIN,,,,,TR100A,120-0310
06768478,,KEY,,,,,TR100A,120-0310
06768990,,PTO COVER-PTO,,,,,TR100A,120-0210
06769195,,RING-SNAP,,,,,TR100A,120-0280
06769289,,SEAL,,,,,TR100A,120-0310
06769720,,GEAR-DRIVE,,,,,TR100A,120-0220
06769722,,GEAR-DRIVE,,,,,TR100A,120-0220
06769783,,SHIM,,,,,TR100A,120-0230
06770023,,VALVE,,,,,TR100A,120-0240
06770075,,VALVE,,,,,TR100A,120-0230
06770557,,PLUG,,,,,TR100A,120-0230
06770571,,SEAT,,,,,TR100A,120-0290
06770591,,@A HOUSING,,,,,TR100A,120-0280
06770623,,SEAL PISTON-SPLITTER,,,,,TR100A,120-0280 120-0300
06771005,,RING,,,,,TR100A,120-0240
06771233,,SEAL,,,,,TR100A,120-0200
06771300,,COVER PLATE,,,,,TR100A,120-0340
06771316,,E PINION-SET,,,,,TR100A,120-0280
06771690,,KEY,,,,,TR100A,120-0280
06772140,,SHIM-.025,,,,,TR100A,120-0260
06772141,,SHIM-.005,,,,,TR100A,120-0260
06772143,,GEAR,,,,,TR100A,120-0280
06772182,,NUT,螺母,,,,TR100A,120-0020
06773806,,RING-SNAP,,,,,TR100A,120-0280
06774565,,BREATHER,,,,,TR100A,120-0290
06775539,,PLUG,,,,,TR100A,120-0320
06776170,,ROLLER,,,,,TR100A,120-0200
06776171,,PLATE,,,,,TR100A,120-0200
06776172,,CUP,,,,,TR100A,120-0200
06776175,,CAM,,,,,TR100A,120-0200
06776176,,RACE,,,,,TR100A,120-0200
06776179,,RING-SNAP,,,,,TR100A,120-0200
06776185,,PLATE,,,,,TR100A,120-0200
06776186,,NUT,,,,,TR100A,120-0200
06776188,,LOCKSTRIP,,,,,TR100A,120-0200
06776189,,RETAINER,,,,,TR100A,120-0200
06776190,,RING-SNAP,,,,,TR100A,120-0200
06776211,,SLEEVE,,,,,TR100A,120-0210
06776228,,GEAR-OIL,,,,,TR100A,120-0210
06776230,,SPINDLE,,,,,TR100A,120-0210
06776232,,PLATE,,,,,TR100A,120-0260
06776237,,BUSH,,,,,TR100A,120-0330
06776241,,RING-SNAP,,,,,TR100A,120-0260
06776246,,PLATE-RETAINER,隔环,,,,TR100A,120-0020
06776247,,SEAL,,,,,TR100A,120-0330
06776253,,VALVE,,,,,TR100A,120-0270
06776261,,KEY,,,,,TR100A,120-0320
06776268,,SPINDLE,,,,,TR100A,120-0330
06776269,,TUBE-RETURN,,,,,TR100A,120-0290
06776290,,SEAT,,,,,TR100A,120-0210
06776292,,RING-SNAP,,,,,TR100A,120-0210
06776295,,RING,,,,,TR100A,120-0260
06776297,,GASKET,,,,,TR100A,120-0270
06776300,,GASKET,,,,,TR100A,120-0270
06776313,,PIN,,,,,TR100A,120-0210
06776314,,RING-SNAP,,,,,TR100A,120-0270
06776324,,BC SPRING,,,,,TR100A,120-0210
06776353,,WASHER,,,,,TR100A,120-0320
06776451,,SCREEN,,,,,TR100A,120-0220
06776610,,PLATE-REACTION,,,,,TR100A,120-0280 120-0300 120-0310 120-0320
06776626,,PLATE,,,,,TR100A,120-0280
06776629,,DRUM,,,,,TR100A,120-0300
06776686,,STATOR,,,,,TR100A,120-0200
06777242,,PIN,,,,,TR100A,120-0200 120-0280 120-0300 120-0310
06777634,,COVER,,,,,TR100A,120-0200
06777657,,BODY ASSY,,,,,TR100A,120-0220
06777658,,GASKET,,,,,TR100A,120-0220
06777659,,GASKET,,,,,TR100A,120-0220
06777672,,KIT-SEAL,,,,,TR100A,120-0200
06777685,,HUB-PUMP DRIVE,,,,,TR100A,120-0210
06777693,,GASKET,,,,,TR100A,120-0200
06777698,,GASKET,,,,,TR100A,120-0220
06777747,,SLEEVE,,,,,TR100A,120-0320
06777764,,CIRCLIP,,,,,TR100A,120-0320
06777766,,GEAR ASM,,,,,TR100A,120-0330
06777768,,PISTON,,,,,TR100A,120-0330
06777792,,CIRCLIP,,,,,TR100A,120-0320 120-0330
06777795,,PLATE,,,,,TR100A,120-0330
06777796,,PLATE-REACTION,,,,,TR100A,120-0320 120-0330
06777797,,CIRCLIP,,,,,TR100A,120-0330
06777814,,DRUM,,,,,TR100A,120-0280
06777889,,PLATE-BACKING,,,,,TR100A,120-0200
06777905,,SEAL,,,,,TR100A,120-0330
06777908,,LOW,,,,,TR100A,120-0280 120-0300
06777990,,KIT-SEAL,,,,,TR100A,120-0320
06777991,,KIT-SEAL,,,,,TR100A,120-0320
06777992,,KIT-SEAL,,,,,TR100A,120-0330
06777993,,KIT-SEAL,,,,,TR100A,120-0330
06777994,,KIT-SEAL,,,,,TR100A,120-0200
06777995,,KIT-SEAL,,,,,TR100A,120-0330
06778691,,RETAINER,,,,,TR100A,120-0340
06779125,,FLANGE,,,,,TR100A,120-0210
06779144,,ANCHOR,,,,,TR100A,120-0320
06779557,,PISTON-LOCKUP,,,,,TR100A,120-0200
06779566,,HUB,,,,,TR100A,120-0290
06779576,,RING-OIL COLLECTOR,,,,,TR100A,120-0310
06779581,,SPINDLE,,,,,TR100A,120-0310
06779653,,RETAINER,,,,,TR100A,120-0320
06779887,,PLATE,,,,,TR100A,120-0200
067825,,"Screw, He ex Flange Hea ad Cap",,,,,QST30,QST30-100
06830007,,SEAL,,,,,TR100A,120-0210
06830063,,SPRING,,,,,TR100A,120-0200
06830132,,SPACER,,,,,TR100A,120-0310
06830333,,BEARING,,,,,TR100A,120-0310
06831031,,PISTON,,,,,TR100A,120-0280
06831033,,PISTON,,,,,TR100A,120-0310
06831048,,PINION-SET,,,,,TR100A,120-0330
06831049,,PINION-SET,,,,,TR100A,120-0310
06831050,,SEAL KIT,,,,,TR100A,120-0200
06831961,,SPINDLE,,,,,TR100A,120-0320
06832138,,PLATE-FRICTION,,,,,TR100A,120-0200 120-0330
06832158,,GEAR,,,,,TR100A,120-0320
06832249,,HUB,,,,,TR100A,120-0330
06832383,,F PINION-SET,,,,,TR100A,120-0320
06832423,,PLATE ASM,,,,,TR100A,120-0220
06832481,,KIT-SEAL,,,,,TR100A,120-0280 120-0300
06832482,,SEAL,,,,,TR100A,120-0280 120-0320
06832483,,SEAL,,,,,TR100A,120-0280
06832484,,SEAL,,,,,TR100A,120-0310
06832485,,SEAL,,,,,TR100A,120-0310 120-0320
06832598,,RING-SNAP,,,,,TR100A,120-0320
06832627,,,,,,,TR100A,120-0300
06832808,,GEAR,,,,,TR100A,120-0310
06832868,,PLATE,,,,,TR100A,120-0280
06833144,,HOUSING,,,,,TR100A,120-0310
06833146,,ANCHOR,,,,,TR100A,120-0320
06833147,,RANGE,,,,,TR100A,120-0320
06833150,,GEAR-2ND RANGE,,,,,TR100A,120-0310
06833152,,GEAR-1ST RANGE,,,,,TR100A,120-0320
06833160,,GEAR-IDLER,,,,,TR100A,120-0210
06833203,,SPRING PLATE-INTER,,,,,TR100A,120-0310 120-0320
06833247,,SPRING,,,,,TR100A,120-0290
06833812,,SPACER,,,,,TR100A,120-0300
06833815,,"""F HUB",,,,,TR100A,120-0280
06834878,,GEAR,,,,,TR100A,120-0340
06835742,,SPRING,,,,,TR100A,120-0280
06835820,,VALVE,,,,,TR100A,120-0270
06836024,,ANCHOR,,,,,TR100A,120-0310
06836199,,HOUSING,,,,,TR100A,120-0200
06836219,,SHAFT,,,,,TR100A,120-0310
06836231,,PLUG,,,,,TR100A,120-0260
06837146,,BEARING,,,,,TR100A,120-0320
06837689,,PISTON,,,,,TR100A,120-0320
06838274,,KEY,,,,,TR100A,120-0320
06838520,,SPRING,,,,,TR100A,120-0240
06838651,,CARRIER,,,,,TR100A,120-0310
06838652,,HUB,,,,,TR100A,120-0320
06838653,,RGE,,,,,TR100A,120-0310
06838678,,GASKET,,,,,TR100A,120-0340
06838686,,RETAINER,,,,,TR100A,120-0290
06839183,,LEVEL,,,,,TR100A,120-0290
06839418,,SPINDLE,,,,,TR100A,120-0280
06880121,,PUMP ASSY,,,,,TR100A,120-0220
06880122,,BODY ASM,,,,,TR100A,120-0220
06880860,,GASKET,,,,,TR100A,120-0240
06881547,,:A COUPLING,,,,,TR100A,120-0210
06882702,,GASKET,,,,,TR100A,120-0210
06883081,,SHAFT ASSY,,,,,TR100A,120-0260
06884434,,BEARING,,,,,TR100A,120-0310
06884436,,GEAR,,,,,TR100A,120-0280
06884835,,BEARING,,,,,TR100A,120-0280
06884850,,RETAINER,,,,,TR100A,120-0260
06885169,,CIRCLIP,,,,,TR100A,120-0310
06885535,,CARRIER,,,,,TR100A,120-0330
06944596,,WEARING RING,,,,,TR100A,230-0130
07150615,,WASHER,,,,,TR100A,200-0050
07150620,,WASHER,垫圈,,,,TR100A,100-0070 300-0030
07150815,,PLAIN WASHER,平垫,,,,TR100A,100-0070 230-0021 260-0090
07151020,,PIAIN WASHER,平垫圈见图,,,,TR100A,250-0020 260-0110
07160030,,LOCKWASHER,弹簧垫圈,,,,TR100A,260-0011
07160530,,LOCKWASHER,锁紧垫圈,,,,TR100A,120-0190
07160630,,LOCK WASHER,锁紧垫圈,,,,TR100A,200-0050 230-0021
07160830,,SPRING WASHER,弹垫,,,,TR100A,100-0070 230-0021 250-0020 260-0015 260-0090
07161030,,SPRING,弹簧,,,,TR100A,250-0020 260-0110
07161230,,LOCKWASHER,弹簧垫圈,,,,TR100A,260-0090
07551826,,HOSE-BULK,热水管,,,,TR100A,260-0140
07552191,,WASHER,,,,,TR100A,250-0060
08892840,,RING-SNAP,,,,,TR100A,120-0210 120-0280
09003522,,ROD BOLT,长螺杆,,,,TR100A,230-0040
09003530,,SHIM(0.020IN),调隙片(0.020”),,,,TR100A,120-0090
09003658,,SHIM(0.003IN),调隙片(0.003”),,,,TR100A,120-0090
09003659,,SHIM(0.008IN),调隙片(0.008”),,,,TR100A,120-0090
09004006,,DAMPING PAD,减震垫,,,,TR100A,190-0100
